house_quarterly_growth,house_twelve_month_growth,house_average_annual_growth,house_number_of_sales,unit_quarterly_growth,unit_twelve_month_growth,unit_average_annual_growth,unit_number_of_sales,suburb_id
+2.56,+33.70,+10.91,127,+7.53,+36.15,+2.31,32,5345
+2.27,+21.62,+12.78,6,,,,0,2044
+3.03,+22.39,+5.82,10,,,,5,7992
,,,0,,,,0,10738
+0.27,+10.29,+5.28,357,+0.83,+3.19,+2.44,69,9456
,,,2,,,,,6554
+7.98,+14.17,+7.60,17,,,,0,5673
+4.37,+8.16,+18.89,13,,,,2,2946
+0.68,+11.68,+7.67,54,+3.75,+17.91,+5.06,63,2660
+5.01,+48.84,+11.06,29,,,,4,5677
,,,0,,,,,8415
,,,1,,,,,2077
+5.93,+26.74,+14.04,53,,,,5,9034
,,,2,,,,,8778
+2.37,+19.89,+6.44,221,+5.14,+19.00,+4.61,39,6248
0.00,,,5,,,,,3853
+1.59,+45.45,+10.41,10,,,,0,2223
+3.23,+26.20,+3.42,40,-3.91,0.00,-0.48,142,2671
,,,4,,,,0,1984
,,,5,,,,0,1940
0.00,+15.38,+8.45,43,+1.46,-3.00,+1.97,53,6015
,,,2,,,,0,3563
+11.11,+36.99,+8.50,39,,,,0,4745
+1.96,+19.63,+7.63,17,,,,1,3341
+21.13,-5.46,-2.97,43,,,,2,4334
+3.40,,,41,,,,1,10383
+3.09,+32.77,+8.07,63,,,,0,1532
-5.71,+39.58,+15.04,71,,,,5,3349
+7.22,+30.16,+8.51,211,+1.88,+28.99,+2.61,34,6363
,,,7,,,,0,11802
+9.96,+19.72,+7.11,23,+0.41,-3.94,-0.49,442,6401
+0.98,+19.42,+10.79,39,,,,5,2954
-0.53,+12.97,+5.58,113,-21.62,-33.20,-4.12,41,342
+7.28,+26.70,+7.44,100,-8.40,-18.92,-6.51,33,7307
,,,6,,,,0,3105
,,,3,,,,1,8945
,,,0,,,,0,9344
+3.23,+24.51,+13.75,164,-6.05,+7.14,+7.06,70,232
+0.25,-1.22,,18,,,,0,2684
+10.48,+23.56,+11.28,74,+20.37,,-0.79,6,4542
+5.84,+35.83,+8.93,53,+8.11,+30.30,+5.91,136,6505
+4.35,+30.43,+16.36,46,,,,0,7218
+0.55,,,6,,,,0,1455
,,,2,,,,0,11278
+0.55,+8.43,+4.06,22,-1.49,+2.96,-0.74,242,1769
+3.14,+24.24,+14.45,33,,,,1,9755
,,,2,,,,,2399
+8.90,+13.57,+5.79,9,,,,0,1156
,,,2,,,,,1963
,,,2,,,,,4827
,,,0,,,,,6097
+0.30,+14.93,+5.15,40,,,,1,157
+15.40,+14.62,+4.03,16,,,,0,12355
+3.41,+24.28,+6.51,144,-1.52,-4.13,+1.48,57,6415
+7.28,+23.02,+9.51,80,+2.71,+5.27,+6.30,22,7040
-1.71,+22.55,+11.92,60,+2.16,0.00,+6.84,17,1303
,,,2,,,,,5470
+8.56,+40.51,+15.87,12,,,,0,972
-0.60,+23.96,+6.65,82,+6.23,+16.00,+5.68,48,7873
+3.90,+42.67,+9.79,109,+4.41,+7.58,-0.46,33,4202
+0.33,+26.23,+13.43,47,,,,0,921
+6.25,+12.83,+9.10,25,+8.81,,,9,6155
+5.26,+16.67,+8.81,69,0.00,+18.99,,12,10213
+14.76,,+22.12,24,,,,0,2725
+15.52,+30.93,+7.56,63,-22.92,-22.11,-0.05,37,7437
-1.19,+8.31,+4.13,178,+2.17,+9.83,+6.09,121,9130
+2.29,+30.98,+16.11,58,+4.76,+28.47,+11.53,13,8788
,,,1,,,,,9449
+1.61,+32.10,+9.53,70,,,,7,7688
,,,2,,,,,1866
,,,0,,,,0,1897
0.00,+4.05,+3.74,216,+2.78,+10.89,+5.88,280,10688
+6.00,+29.27,+6.60,89,+1.96,+23.81,+10.20,25,5444
+1.38,+20.89,+19.66,22,,,,2,9025
-3.08,+49.69,+11.53,41,,,,0,2072
+14.69,+21.24,+7.97,58,+0.88,+37.02,+2.66,31,7524
+0.98,+6.98,+10.29,29,-1.83,+0.88,+1.95,100,2226
+1.28,+13.56,+6.14,401,+2.51,+8.72,+6.74,71,10638
+9.43,+29.70,+11.72,104,,,,1,4595
+3.31,+26.38,+8.47,47,,,,1,7431
,,,8,,,,2,10669
+1.83,+14.18,+4.72,86,-1.62,+22.45,+2.05,36,3003
,,,5,,,,0,2100
0.00,-2.52,+13.87,15,,,,1,3952
0.00,+11.32,+12.74,28,,,,0,10569
+1.72,+10.63,+4.67,57,-0.12,+3.63,-5.11,33,11547
+1.75,+20.83,+10.16,47,,,,0,5488
+1.25,+29.60,-0.12,152,,,,0,6119
+6.61,+31.04,+15.61,54,+2.50,-30.56,,14,10461
,,,8,,,,0,2608
,,,0,,,,,10535
+3.64,+18.44,+7.26,45,,,,2,7331
-12.61,+11.14,+5.97,52,-26.30,+8.49,,14,12160
0.00,-0.50,-0.30,20,,,,0,11973
+3.52,+19.90,+5.25,90,,,,7,6803
+1.45,+32.58,+11.59,78,+0.65,+3.15,+1.71,81,4220
,,,2,,,,,3348
+0.88,+21.13,+7.68,75,,,,1,3582
,,,7,,,,0,5283
-3.64,+19.75,+8.04,79,,,,2,3728
,,,5,,,,0,12959
+2.63,+18.28,+11.04,84,+7.43,+32.98,+12.42,118,3504
+13.63,+47.25,+16.31,68,,,,7,408
+16.09,+29.04,+5.43,70,,,,0,4713
-0.66,+20.00,+1.32,75,,,,2,12132
+8.37,+29.54,+13.66,34,,,,2,9673
,,,2,,,,,8692
,,,3,,,,0,1256
+8.10,+23.15,+4.72,38,,,,0,7406
+5.65,+16.80,+6.58,27,,,,1,2891
-13.27,-10.43,-4.41,31,0.00,,,8,12785
+4.43,+43.39,+11.13,56,,,,0,2550
+1.06,+7.95,+3.63,401,,,,5,11556
+5.26,+19.40,+4.86,21,+0.25,+1.77,,36,2303
,,,3,,,,0,1412
-6.86,+16.43,+9.19,32,,,,2,4396
,,,5,,,,,1500
+2.84,+47.84,+13.19,13,,,,0,1005
-1.91,+4.17,+1.68,55,-2.27,+0.42,-2.10,513,12559
+10.73,+32.57,+15.67,18,,,,5,1520
+8.22,+30.12,+7.97,83,,,,0,7804
0.00,0.00,,65,,,,8,8267
+1.85,+17.86,+5.05,91,+4.52,+20.83,+6.75,30,3176
+23.71,,,11,,,,0,10154
+0.31,+23.08,+6.19,41,+1.27,+9.18,+2.05,45,1244
,,,3,,,,,681
+0.37,+12.08,+4.49,118,,,,0,12628
+4.17,+9.09,+6.89,83,,,,3,7599
,,,2,,,,,676
+6.17,+32.35,,12,,,,0,5849
,,,1,,,,,3948
+0.50,+2.53,+1.91,226,0.00,0.00,-0.79,55,12675
+0.96,+9.38,+4.46,163,,,,3,4290
+3.87,+28.48,+9.15,59,,,,4,1416
+1.64,+29.17,+13.79,31,,,,2,11491
,,,2,,,,,3562
-0.44,+13.94,+4.44,123,,,,10,11980
+11.66,+30.56,+8.83,31,,,,0,857
+1.47,+32.88,+13.62,63,-4.11,,,13,3338
0.00,+30.08,+6.99,82,+20.21,+23.75,+4.35,24,1737
+2.83,+13.16,+6.35,49,0.00,-11.35,+8.11,17,10101
,,,0,,,,,10307
+6.98,+44.20,+19.09,66,0.00,+39.37,+9.77,5,10817
-3.09,+17.21,+8.37,78,-15.55,+17.42,+4.70,24,1084
0.00,+4.10,+7.44,45,-0.79,+11.61,+5.08,230,539
+6.82,+23.14,+15.10,52,-0.22,+20.00,+13.40,14,8603
,,,5,,,,0,194
,+49.59,,10,-16.94,-19.70,-1.49,22,7299
+4.50,+18.77,+3.30,70,+0.94,+10.94,-1.20,94,12472
-0.52,+17.09,+7.38,53,-3.07,+27.24,+6.35,42,3733
,,,1,,,,,8714
+2.37,+15.92,+3.30,28,,,,1,2348
+4.05,+43.93,+16.75,41,,,,4,8394
+1.15,+20.00,+15.22,27,+5.24,+14.46,+5.77,18,8717
+2.52,+10.38,+3.65,23,,,,6,425
+9.25,+45.67,+11.38,73,,,,8,10890
+2.17,,,9,,,,0,12539
+5.14,+21.18,+10.20,65,,,,1,1252
+4.28,+19.64,+9.36,332,+2.39,+20.77,+4.39,989,6422
+6.38,+23.61,+8.53,11,+4.02,+27.05,,9,3471
+1.85,+19.05,+9.21,76,-8.11,+0.85,,9,2663
-0.84,+23.78,+7.73,31,,,,3,525
+1.69,+37.06,+9.07,49,,,,0,2145
+0.95,+6.56,+1.39,102,,,,4,12549
,,,7,+1.11,+22.32,+8.17,56,74
+2.83,+20.98,+8.80,49,,,,3,1364
,,,7,,,,0,2052
,,,1,,,,0,8804
,,,1,,,,0,308
+0.82,+20.61,+8.16,144,+2.27,+7.14,+3.99,37,6095
+3.40,+17.32,,37,,,,1,5946
-0.30,+26.14,+5.90,50,,,,2,12249
+7.84,+31.58,+10.76,754,+5.05,+20.37,+6.47,124,4611
+6.44,+42.95,+7.47,317,+26.31,+25.23,+5.31,18,2755
+4.69,+18.85,+9.29,58,,,,4,6806
+33.54,-7.93,+10.93,19,-4.49,-2.09,+1.46,17,7568
-12.07,+9.32,+7.63,30,,,,0,3164
+0.81,+28.23,+7.34,39,,,,0,6539
+6.10,+40.74,+7.42,37,0.00,,,11,834
+1.73,+9.80,+2.50,107,,,,2,12074
+0.88,+10.58,+7.69,225,,,,2,9332
+25.65,+46.96,+11.39,47,,,,4,3889
+0.47,+18.61,+5.61,81,,,,3,3737
+0.52,+22.27,+13.92,237,-1.71,+13.11,+13.52,273,6114
-4.62,+12.00,+4.21,20,+1.17,+4.28,-0.25,48,2679
,,,5,,,,,2389
+9.52,+22.31,+8.64,81,+6.28,+7.84,+4.33,114,4277
+0.54,+46.83,+18.25,27,+7.71,+46.75,+11.22,9,9677
+4.23,+20.27,+8.47,66,+2.53,+0.61,+1.96,406,6764
+16.36,+12.28,+7.35,40,,,,4,10643
,,,2,,,,0,2103
+2.97,+13.07,+13.40,17,,,,0,9448
,,,7,,,,0,9625
,,,4,,,,,238
+4.92,+25.86,+8.79,91,+9.67,+9.67,+0.30,7,5594
+1.04,+23.52,+9.09,91,,,,3,2043
-5.78,+28.95,+2.22,27,,,,0,11566
+0.82,+6.63,+4.14,212,-0.30,+5.64,+4.08,80,11161
+0.27,+9.01,+6.29,143,+1.88,+6.85,+3.96,18,11141
+5.94,+20.36,+5.47,66,+5.81,+5.81,-2.58,34,6835
+1.50,+17.65,+9.02,35,,,,4,6548
+9.95,,,4,,,,0,11366
-1.41,+5.88,+2.90,11,,,,0,927
+1.09,+13.12,+7.12,17,+18.71,+45.13,+8.85,23,7034
+2.85,+21.43,+12.55,44,-3.44,+5.15,+8.91,35,322
+3.64,+23.91,+8.81,240,-5.57,+15.20,+7.05,29,4385
,,,3,,,,0,2466
+1.67,+18.70,+9.68,253,,,,1,9079
+24.00,+38.38,+13.70,10,-1.25,+5.33,+6.93,33,8595
-0.18,+6.45,+9.67,73,+7.59,+7.37,+2.90,35,12660
+5.28,+36.32,+8.79,48,,,,0,1046
+0.60,+10.96,+5.30,187,+5.60,+26.34,+4.04,12,12330
-1.14,+20.07,+9.39,64,,,,8,73
+7.02,+26.01,+6.74,62,,,,5,8039
,,,0,,,,0,10459
+3.19,+10.23,+4.73,275,,,+1.89,10,11965
+8.33,+31.05,+14.38,355,+16.81,+37.18,+10.28,60,10539
-1.94,+13.68,+14.43,39,,,,0,8638
+1.63,+17.55,+14.09,227,0.00,+16.80,+7.86,17,9994
,,,0,,,,,8506
+5.80,+19.67,+8.43,355,+10.65,+22.65,+2.40,8,1816
,,,4,,,,1,8833
+6.24,+30.40,+12.55,79,-2.58,+5.59,+7.39,9,4803
,,,3,,,,,2048
+1.38,+19.54,+12.91,52,+6.00,+40.29,+12.69,138,2315
+14.08,+25.58,+8.55,43,,,,2,7018
+0.83,+47.82,+12.36,44,,,,1,5485
+6.38,+25.00,+16.05,20,,,,6,9819
+2.86,+18.68,+1.55,25,,,,3,7700
+2.86,+30.73,+8.87,90,+1.74,+27.74,+6.82,31,5732
0.00,+32.12,+15.64,13,,,,0,11094
+7.30,+42.65,,26,,,,5,6182
,,,3,,,,0,9148
,,,3,,,,0,2169
+1.52,+36.36,+14.95,55,+5.45,+38.10,+16.08,25,6657
-0.23,+13.90,+11.75,86,+0.19,+11.55,+11.42,21,9196
,,,7,,,,2,6190
,,,1,0.00,+21.18,+5.18,36,5676
+3.27,+20.24,+2.90,70,,,,2,1679
0.00,+12.62,+11.54,71,-4.10,+15.34,+3.97,92,3660
+2.76,+20.41,+5.12,193,+6.41,+17.83,+3.77,48,5197
+4.00,+17.82,+3.59,294,+3.64,+23.50,+9.32,25,5124
-0.36,+12.53,+8.03,116,+12.55,+16.07,+9.10,19,9181
-1.89,+8.33,+3.40,290,+0.55,+4.16,+2.95,176,9416
,,,2,,,,,6379
-0.51,+24.20,+8.11,24,-2.72,-28.15,-5.50,67,2123
+4.81,+29.54,+12.21,36,+1.69,+45.58,+17.39,11,8681
+9.72,+33.90,+8.23,117,+4.12,+23.41,+2.94,29,6040
+6.62,+26.37,+10.09,608,,,,3,647
-2.97,+38.03,,15,,,,0,6377
,,,5,,,,0,1440
+3.73,+44.35,+13.02,54,+21.62,,,13,3192
+4.95,+29.27,+9.28,58,-23.33,,+10.15,8,5153
+7.72,+10.41,+12.20,18,,,,0,2336
0.00,+17.82,+6.33,232,-2.87,-0.49,+0.27,223,2250
,,,1,,,,,6439
+3.32,+12.23,+5.81,137,0.00,,+4.26,11,582
+10.71,+25.68,,25,,,,1,7206
+0.73,+7.84,+4.37,266,+4.00,+25.40,,46,4715
+8.05,+26.01,+9.58,19,,,,0,1504
-1.70,+36.92,+21.33,20,,,,0,10106
+3.08,+46.25,+14.10,11,,,,0,8733
-9.47,-7.33,+8.96,14,,,,0,1150
+2.94,+25.90,+8.13,408,+9.55,+20.37,+24.01,38,6587
-8.88,+11.43,+8.87,25,,,,0,3942
,,,8,,,,0,11445
,,,4,,,,2,12418
,,,4,,,,0,217
,,,8,,,,0,5074
+13.90,+47.50,+9.78,20,,,,0,1728
+0.34,+18.00,+11.09,37,,,,0,6020
,,,0,,,,,9993
0.00,-5.03,+10.91,16,,,,0,3528
+1.99,+29.07,+17.90,36,,,,0,8439
+4.47,+19.58,+5.55,154,0.00,+22.77,+3.38,47,6802
-4.58,+13.45,+7.70,226,-1.00,+7.49,+1.49,258,2247
+6.41,+26.72,+11.30,120,,,,1,3725
0.00,,,8,,,,,8995
0.00,+12.59,+5.76,34,,,,0,2971
+1.32,+26.27,+9.80,41,,,,7,7653
+0.42,-0.24,+7.27,14,,,,0,1995
+6.67,+24.27,+13.71,64,,,,4,9795
+1.27,+5.66,+1.49,449,+9.23,+28.89,,18,4883
-0.11,+11.82,+4.65,333,-0.47,+5.11,+5.28,70,10529
0.00,+7.47,+8.15,28,+5.88,+11.92,,11,3726
+5.34,+28.21,+7.90,231,+6.03,+18.14,+2.81,114,5693
+7.88,+29.93,+7.94,113,,,,11,5001
+17.14,+38.98,+11.70,45,,,,1,6939
+6.26,+21.67,+13.65,81,-5.76,+8.43,+11.17,11,10393
+4.15,+27.70,+8.94,83,-0.31,+20.79,+4.40,75,3859
-2.83,-8.04,,26,,,,5,6651
-1.08,+2.79,+3.28,23,+12.29,+30.00,,15,11971
+4.68,+20.73,+9.70,24,,,,0,913
+8.64,+39.29,+5.89,67,,,,2,5351
+4.05,+26.25,+8.07,64,+13.73,+35.90,,21,5296
+2.58,+21.36,+12.07,88,0.00,+21.33,+9.81,93,3505
+2.15,+50.00,+6.92,33,,,,,4793
+2.01,+12.82,+7.11,399,+2.17,+11.90,+7.33,113,9592
+5.88,+18.27,+9.74,44,,,,5,5152
+5.26,+17.65,+5.78,238,,,,0,7212
+1.39,+19.08,+9.96,225,+16.96,+19.96,+2.73,51,4635
,,,0,,,,,10653
+1.86,+25.16,+10.24,62,,,,3,688
,,,5,,,,,2297
-3.06,,+8.54,9,,,,0,8891
+0.24,+18.29,+5.97,209,-1.74,-1.13,-0.14,248,832
+3.53,+18.75,+15.08,40,,,,2,3343
+4.20,+14.11,+7.30,27,,,,0,608
+4.00,+12.23,+4.95,128,-0.82,,,16,4770
+3.80,+29.75,+3.83,24,,,,0,1248
,,,9,,,,,7955
+3.13,+21.77,+12.27,72,,,,2,6841
-1.18,+12.75,+4.21,39,,,,0,3661
+9.38,+40.28,+11.98,43,,,,1,4485
+10.57,+38.78,+14.21,43,,,,0,11475
0.00,+32.40,,6,,,,0,2454
-2.40,+7.08,+4.16,312,-3.13,+0.65,+1.82,205,9894
,,,1,,,,0,9515
0.00,+3.88,+1.64,177,-0.47,,,12,12725
+2.78,+16.84,+5.24,181,,,,8,11826
+1.57,+3.60,+3.92,119,+2.33,-12.87,+0.55,29,5375
,,,1,,,,,4579
,,,1,,,,0,1250
+0.47,+15.73,+4.69,139,0.00,+10.88,+1.55,114,271
,,,1,,,,,11438
+3.72,+20.93,+3.23,28,0.00,+8.06,+1.08,55,1297
-0.27,+10.43,+4.38,158,+8.27,+18.85,+6.63,9,11259
+6.92,+26.02,+7.48,608,+7.14,+8.17,+4.16,125,7729
+6.21,+23.20,+12.62,99,,,,6,5596
+2.88,+27.32,+10.58,14,,,,4,3723
-1.05,+13.25,+6.07,101,-7.32,-8.39,0.00,34,3016
+5.91,+36.61,+10.12,14,-0.25,+14.09,+6.35,112,655
+7.10,+25.74,+10.27,31,,,,0,318
,,,1,,,,,8354
,,,0,,,,0,10952
+10.47,+44.29,+9.60,53,,,,6,7825
+0.67,+9.18,+3.78,167,-8.33,-8.33,-4.48,12,12912
,,,4,,,,0,432
-0.95,+7.22,+8.87,93,-3.39,+0.93,+7.66,88,2395
-1.09,+7.74,+3.83,68,,,,3,6713
+3.64,+35.42,+8.88,83,+9.57,+37.62,+7.54,16,2843
,,,3,,,,,5365
,,,5,,,,0,3782
+19.61,+37.85,+11.85,11,,,,0,10823
,,,3,,,,,2143
+4.28,+27.45,+6.25,209,+10.45,+19.15,+5.18,25,1636
-1.49,+12.27,+7.26,46,-2.41,+19.94,+6.08,26,2766
+1.69,+6.48,+5.69,23,,,,0,12508
+3.24,,+2.65,28,,,,1,4329
+4.72,+37.28,+8.45,41,,,,1,7632
+4.00,+28.08,+11.00,169,,,,1,4698
,,,1,,,,0,11133
