suburb_id,bedrooms,type,median_solid_price,median_rental_price,date_time
4,house,"$1,125,000",$720,2022-11-16 09:15:51,110
1,unit,,,2022-11-16 09:15:51,110
2,unit,,,2022-11-16 09:15:51,110
3,unit,,,2022-11-16 09:15:51,110
2,house,,,2022-11-16 09:16:12,112
3,house,,,2022-11-16 09:16:12,112
4,house,,,2022-11-16 09:16:12,112
1,unit,,,2022-11-16 09:16:12,112
2,unit,,,2022-11-16 09:16:12,112
3,unit,,,2022-11-16 09:16:12,112
2,house,,,2022-11-16 09:16:25,113
3,house,"$905,000",$685,2022-11-16 09:16:25,113
4,house,"$1,175,000",$822,2022-11-16 09:16:25,113
1,unit,,,2022-11-16 09:16:25,113
2,unit,,,2022-11-16 09:16:25,113
3,unit,,,2022-11-16 09:16:25,113
2,house,,,2022-11-16 09:16:38,114
3,house,,,2022-11-16 09:16:38,114
4,house,,,2022-11-16 09:16:38,114
1,unit,,,2022-11-16 09:16:38,114
2,unit,,,2022-11-16 09:16:38,114
3,unit,,,2022-11-16 09:16:38,114
2,house,,,2022-11-16 09:16:51,115
3,house,"$792,500",$625,2022-11-16 09:16:51,115
4,house,"$940,000",,2022-11-16 09:16:51,115
1,unit,,,2022-11-16 09:16:51,115
2,unit,,,2022-11-16 09:16:51,115
3,unit,,,2022-11-16 09:16:51,115
2,house,,,2022-11-16 09:17:03,116
3,house,,$690,2022-11-16 09:17:03,116
4,house,"$1,210,000",$877,2022-11-16 09:17:03,116
1,unit,,,2022-11-16 09:17:03,116
2,unit,,,2022-11-16 09:17:03,116
3,unit,,,2022-11-16 09:17:03,116
2,house,,,2022-11-16 09:17:15,117
3,house,"$1,080,000",$660,2022-11-16 09:17:15,117
4,house,"$1,325,000",$905,2022-11-16 09:17:15,117
1,unit,,,2022-11-16 09:17:15,117
2,unit,,,2022-11-16 09:17:15,117
3,unit,,,2022-11-16 09:17:15,117
2,house,,,2022-11-16 09:17:34,119
3,house,"$2,020,000",$875,2022-11-16 09:17:34,119
4,house,,,2022-11-16 09:17:34,119
1,unit,"$475,000",$490,2022-11-16 09:17:34,119
2,unit,"$680,000",$630,2022-11-16 09:17:34,119
3,unit,,$820,2022-11-16 09:17:34,119
2,house,,,2022-11-16 09:17:47,120
3,house,,,2022-11-16 09:17:47,120
4,house,,,2022-11-16 09:17:47,120
1,unit,,,2022-11-16 09:17:47,120
2,unit,,,2022-11-16 09:17:47,120
3,unit,,,2022-11-16 09:17:47,120
2,house,,,2022-11-16 09:17:59,121
3,house,"$850,000",$620,2022-11-16 09:17:59,121
4,house,"$1,045,000",$750,2022-11-16 09:17:59,121
1,unit,,,2022-11-16 09:17:59,121
2,unit,,$510,2022-11-16 09:17:59,121
3,unit,,,2022-11-16 09:17:59,121
2,house,,,2022-11-16 09:18:11,122
3,house,"$973,000",$620,2022-11-16 09:18:11,122
4,house,"$1,100,000",,2022-11-16 09:18:11,122
1,unit,,,2022-11-16 09:18:11,122
2,unit,,,2022-11-16 09:18:11,122
3,unit,,,2022-11-16 09:18:11,122
2,house,,$490,2022-11-16 09:18:23,123
3,house,"$1,090,000",$650,2022-11-16 09:18:23,123
4,house,"$1,310,000",$850,2022-11-16 09:18:23,123
1,unit,,$392,2022-11-16 09:18:23,123
2,unit,"$520,750",$475,2022-11-16 09:18:23,123
3,unit,"$867,500",$622,2022-11-16 09:18:23,123
2,house,,,2022-11-16 09:18:36,124
3,house,,,2022-11-16 09:18:36,124
4,house,"$1,320,000",$780,2022-11-16 09:18:36,124
1,unit,,,2022-11-16 09:18:36,124
2,unit,,,2022-11-16 09:18:36,124
3,unit,,,2022-11-16 09:18:36,124
2,house,,$542,2022-11-16 09:18:48,125
3,house,"$1,004,000",$630,2022-11-16 09:18:48,125
4,house,"$1,175,000",$850,2022-11-16 09:18:48,125
1,unit,,,2022-11-16 09:18:48,125
2,unit,,$515,2022-11-16 09:18:48,125
3,unit,,,2022-11-16 09:18:48,125
2,house,,,2022-11-16 09:19:08,127
3,house,,,2022-11-16 09:19:08,127
4,house,"$1,350,000","$1,000",2022-11-16 09:19:08,127
1,unit,"$420,000",$460,2022-11-16 09:19:08,127
2,unit,"$500,500",$540,2022-11-16 09:19:08,127
3,unit,"$710,000",$630,2022-11-16 09:19:08,127
2,house,,,2022-11-16 09:19:20,128
3,house,"$1,975,000",$845,2022-11-16 09:19:20,128
4,house,"$2,735,000","$1,020",2022-11-16 09:19:20,128
1,unit,,$460,2022-11-16 09:19:20,128
2,unit,,,2022-11-16 09:19:20,128
3,unit,,$820,2022-11-16 09:19:20,128
2,house,,,2022-11-16 09:19:33,129
3,house,,,2022-11-16 09:19:33,129
4,house,,,2022-11-16 09:19:33,129
1,unit,,,2022-11-16 09:19:33,129
2,unit,,,2022-11-16 09:19:33,129
3,unit,,,2022-11-16 09:19:33,129
